Year,Grid,TX90p,TX10p,TN90p,TN10p,WSDI,DTR,TXx,TXn,TNx,TNn,rv20TXx,rv20TXn,rv20TNx,rv20TNn
1995,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,9,5.53955044334504,31.7080785585241,28.8259374443574,25.8418904278293,23.9245536453293,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
1996,2,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,15,5.47012101123379,31.7653867560241,28.3041122901908,25.7373956978293,23.8057588869959,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
1997,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,10,5.49073423279709,31.7892985493574,28.5504171218574,25.8311673136626,24.0603772153293,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
1998,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,8,5.4106327807423,32.4984634876908,28.7468664018574,26.3409888886626,24.6062095311626,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
1999,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,13,5.16481331296148,31.2081840993574,27.9740506943574,25.4791343361626,23.7711023628293,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
2000,2,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,7,5.13967788437587,31.5074013218574,28.2167811543574,25.6570302003293,24.0091776186626,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
2001,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,13,5.30531436093408,31.4893870510241,28.2066544035241,25.7929033578293,23.9391512219959,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
2002,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,13,5.40379007057791,31.9081441710241,28.2326642810241,26.0169964761626,23.9453679078293,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
2003,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,0,5.28990691416696,31.8457026635241,28.3565694643574,25.8731544153293,24.1027521453293,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
2004,2,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,6,5.31452980776384,31.6664894560241,28.5288755251908,25.8870564444959,24.0872263253293,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
2005,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,24,5.32636074608476,31.7963125068574,28.6071340401908,26.0302525494959,24.1846397078293,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
2006,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,7,5.20057995583819,31.5073606318574,27.8604897001908,25.8809198678293,24.0448437669959,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
2007,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,0,5.40653644389298,31.7648196376908,28.5966690535241,25.7641863169959,23.9460087753293,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
2008,2,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,0,5.19829639861084,31.4884499068574,28.3632935035241,25.7869638744959,24.0878646519959,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
2009,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,7,5.42515166498887,31.8781581068574,28.7136378426908,26.0250874494959,24.0980397203293,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
2010,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,22,5.2833476837012,32.1818804893574,28.5171173560241,26.0624447786626,24.3138167994959,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
2011,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,12,5.17913094808476,31.4043205718574,28.0908757993574,25.8700645094959,24.0495129544959,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
2012,2,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,7,5.25135762855619,31.6027153485241,28.5232730051908,25.9693750678293,23.7770672778293,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
2013,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,7,5.15323059586559,31.4675529960241,28.3202878785241,25.9402218794959,24.2906488728293,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
2014,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,16,5.48042481008476,32.1203951993574,28.7898771126908,26.1395143803293,24.2818509094959,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
2015,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,7,5.27708948920805,31.9576195218574,28.2948082426908,26.1121744469959,24.4526959411626,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
2016,2,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,11,5.49917670593324,32.4707700551908,29.1255526693574,26.4546465219959,24.6589756944959,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
2017,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,6,5.22467404378339,32.0402801976908,28.3694300801908,26.1108011553293,24.2202880544959,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
2018,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,9,5.40808201312586,32.1591232785241,28.6262711043574,25.9919351878293,24.3734824794959,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
2019,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,14,5.32120168720805,32.0700068635241,28.6502172301908,26.2591038686626,24.4388167986626,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
2020,2,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,15,5.7084237738021,32.7254875635241,29.1332252968574,26.4397653903293,24.6019040086626,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
2021,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,0,5.26074636463271,31.9904729651908,28.6776360026908,26.1718998878293,24.3734583203293,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
2022,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,10,5.30831273427654,31.9734835785241,28.4730703176908,26.0390047378293,24.2052581453293,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
2023,2,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,7,5.17902994737244,31.8414543618574,28.4725820368574,26.1788375511626,24.5846132569959,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
2024,2,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,7,5.41906985626111,32.7388606226908,29.2071706610241,26.7092330586626,24.8475717836626,33.8257752294312,30.4175982378819,27.1201606913718,2.19870751384473E+213
1981,3,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,14,5.07174235628639,30.9506665137022,28.6992283728689,25.8485976962337,23.8941362812337,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
1982,3,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,13,5.10462454472475,31.1306858928689,28.7525120645355,25.9337264812337,24.1382578312337,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
1983,3,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,20,5.21666786828639,31.8511067295355,29.1408965653688,26.4802301845671,24.1191042379004,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
1984,3,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,13,4.74689418249122,30.6889325062022,28.0049763603689,25.8420376895671,23.9397435295671,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
1985,3,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,0,4.73305931932749,30.7646377162022,28.1161620703689,25.8015421354004,23.8966984870671,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
1986,3,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,6,4.85929862571105,30.9182212428688,28.3581969803688,25.8363715912337,23.8680462962337,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
1987,3,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,6,4.94117569902612,31.6389256395355,28.8397173162022,26.4172927662337,24.4205517887337,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
1988,3,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,0,4.87183594082456,31.2204291878689,28.5933908695355,26.3014772845671,24.2657984204004,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
1989,3,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,21,4.94318839579324,31.1701298637022,27.8916162712022,25.8450830895671,23.8798998304004,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
