Grid,Year,Rx1day,Rx5day,R5mm,R10mm,R20mm,R50mm,CDD,CWD,R95p,R99p,SDII
1,1981,96.3926913154312,186.600138854046,81,65,41,6,32,6,460.654551166057,96.3926913154312,22.1078674466933
1,1982,113.976195140443,214.875822526134,87,70,40,5,41,10,335.440445034376,113.976195140443,22.782234957703
1,1983,82.1501198869323,131.387434241601,48,39,23,8,37,4,377.292037347684,0,27.6570530837871
1,1984,70.3635941243816,129.389504134521,122,79,32,4,23,25,271.344397584351,0,14.7706288107101
1,1985,109.624158034178,154.425389409361,75,65,36,9,26,6,268.911435993724,109.624158034178,26.2320178066046
1,1986,69.6308770762387,133.270215959103,83,58,32,2,36,12,69.6308770762387,0,18.5096614433557
1,1987,87.7599266424911,119.513668405257,60,43,23,3,26,7,157.598656392037,0,18.376315085501
1,1988,141.031060812345,245.980939229426,77,60,36,7,37,7,546.533767521647,265.383830148913,24.8845795112074
1,1989,73.4099721010565,181.677377442895,74,61,24,4,46,6,202.191010201625,0,20.2947161162519
1,1990,125.420483110675,234.275258551602,80,65,36,10,31,6,725.439159075366,228.935887836958,25.4197871557705
1,1991,163.942890231814,325.724561204544,80,65,38,11,46,6,916.751457151353,373.761465997274,26.1866190433544
1,1992,113.244382519746,203.839884959242,61,53,38,11,29,5,694.92862859753,219.211459473538,29.6998804827006
1,1993,94.5815024181234,223.382921664124,79,66,45,11,28,8,553.815648869328,189.163004836247,27.2325669662651
1,1994,160.948736587479,380.926664910906,75,63,38,11,31,4,396.855117331761,268.247896822149,29.0236944383812
1,1995,104.863887224889,256.380059173608,86,69,33,9,28,8,474.091003871328,197.903477312517,22.1548880520126
1,1996,134.853689601171,314.658617539582,69,59,37,6,29,8,434.423889942898,134.853689601171,25.6919706250214
1,1997,129.918677950848,303.143581885312,80,67,54,18,36,13,725.069849633235,446.987011131106,32.4176501030782
1,1998,84.1408051631321,197.290101395127,89,69,41,5,41,12,275.829628337051,0,22.3075080411423
1,1999,78.0666243237176,250.101348796485,116,93,42,4,17,11,156.133248647435,0,19.5209334298337
1,2000,107.818866267332,147.449884976389,104,79,34,3,20,10,168.768387106179,107.818866267332,17.4377797676978
1,2001,41.7645630529879,109.639906929988,100,65,30,0,25,8,0,0,14.3869287143878
1,2002,133.146382807332,209.786221544105,94,59,26,6,39,12,273.959703418023,133.146382807332,15.938681953057
1,2003,104.734793147604,143.48840523987,89,68,34,6,34,9,444.293163161676,104.734793147604,19.9989772349374
1,2004,91.5540468329357,228.885116611773,93,74,46,13,39,11,647.541563865141,0,22.9159823516663
1,2005,113.083424550657,126.835366206565,85,65,27,7,30,6,326.93657021317,113.083424550657,19.4177558996177
1,2006,87.0924535409239,177.597890629633,131,96,45,9,24,14,426.279441741132,0,18.2521293620423
1,2007,79.7376457896047,180.255186930875,120,89,39,9,28,12,411.62093250652,0,19.1829410970149
1,2008,97.8059791932984,151.151938970314,116,79,30,7,30,11,373.12934838566,97.8059791932984,17.8467276136398
1,2009,104.711052162442,166.692918580167,114,92,46,7,36,10,238.080384334708,104.711052162442,20.8274733318305
1,2010,82.1791010927145,216.020298756189,133,102,47,7,23,7,210.143152282604,0,19.0340324594827
1,2011,81.1750172245275,129.932290477978,123,78,30,5,23,9,81.1750172245275,0,15.5759377751252
1,2012,88.6719019632371,243.847734633994,110,93,39,5,26,12,369.562108666746,0,20.324387139011
1,2013,92.1689398544275,142.531244309849,102,65,35,10,15,6,450.18321160805,0,18.5445638528752
1,2014,112.744184262412,173.478760060387,106,82,50,7,35,12,319.350413497592,112.744184262412,21.2804172350602
1,2015,73.4083571192703,259.262896716147,140,102,50,9,21,21,133.873849282407,0,18.943801883604
1,2016,98.158451791517,303.085981809405,101,67,27,6,28,14,378.51210338374,98.158451791517,17.2931762641117
1,2017,75.6348109136142,188.565772148797,103,77,40,5,20,14,208.99556090703,0,18.8241437460825
1,2018,53.8797112573328,156.24445087231,134,90,43,1,24,23,0,0,14.3455068401157
1,2019,162.625682476643,433.441739146113,146,107,55,15,17,11,988.985928619919,521.116864186727,20.9078513038476
1,2020,81.1576345243002,166.54140533702,119,85,46,3,31,9,143.346658589663,0,16.2294732636203
1,2021,93.937824887349,161.838516261112,130,93,45,7,27,16,282.652836975969,93.937824887349,19.0091222562034
1,2022,97.9957583758008,179.658885963687,119,84,34,5,22,8,310.815059707398,97.9957583758008,16.5206098998716
1,2023,128.801404187895,328.564382446093,149,121,74,22,21,13,1215.78885090887,226.101779264081,25.3579156161423
1,2024,76.9524271198898,139.495368420442,132,90,45,3,21,16,76.9524271198898,0,15.4418969577973
