Grid,Year,Month,Monthly_Rain,Monthly_PET,SPI_3,SPEI_3,EDDI_3,PDSI
1,1981,1,23.8989833088554,3132.81826090795,NA,NA,NA,0.0895601741298125
1,1981,2,58.8498771283283,3029.26256653973,NA,NA,NA,-0.0810078063321061
1,1981,3,70.2559474250971,3237.11121998338,-0.785367322229048,0.00495158405017842,-0.260397673094315,-0.202418321176644
1,1981,4,82.5261342635899,2983.90206219178,-0.599817336442449,0.00664650231747881,-0.180496446863967,-0.470476328990252
1,1981,5,336.353887740642,2699.25569257261,0.492842571378332,0.369921192854405,-0.286661127578493,-0.0118253723706691
1,1981,6,80.4705238409803,2414.44485093032,-0.131592999506435,-0.236451097376879,0.128828249155731,-0.52122897869394
1,1981,7,110.555664824484,2444.45973454029,0.287720692531362,-0.0898671923950009,0.187891640821073,0.0994952532147881
1,1981,8,104.593698729286,2331.19101571841,-0.726294036182956,-0.555118408217849,-0.279513542715818,-0.108554613195493
1,1981,9,205.273396960929,2579.13109551236,0.143061943378692,-0.339055555371006,0.659488246371586,-0.141426046090117
1,1981,10,211.652989612104,2707.01564674546,-0.119908001151157,-0.436214526390528,0.729491461209532,-0.293143468426375
1,1981,11,188.057519190233,3001.9884021224,-0.423449217228948,-1.66308866609343,1.71010799026159,-0.683368791462499
1,1981,12,154.948399997244,3061.53121679165,-0.580950713246829,-1.21428673975398,1.31447175340559,-0.726895137369824
1,1982,1,24.7352683474547,3407.63480251327,-1.09873006458608,-2.02718162481145,1.91963138243645,-1.26035737613469
1,1982,2,12.2428111933585,3206.95873702341,-1.09185410437964,-1.3856931234885,1.28583829326802,-1.67359527991559
1,1982,3,44.9432741860878,3385.29371853307,-1.71201575784999,-1.16864065529269,1.05162921243364,-1.92184298366587
1,1982,4,129.151240054722,2934.7565676113,-0.889822305131448,-0.59278838477235,0.505894934560603,-1.78563033815394
1,1982,5,301.170358894902,2852.05105961728,0.39957438820539,-0.371557292001575,0.47549530461465,-1.43113163696716
1,1982,6,241.538994943038,2313.54435126858,0.940184379735282,0.495376107564925,0.143471073481835,-1.10901145382054
1,1982,7,73.8809739474802,2443.3208620457,0.796776213855333,0.156380648911317,0.594550352929975,-1.17586131357909
1,1982,8,81.4741217415183,2444.52739843581,0.0423795238175116,0.0411316390239364,-0.183714540609521,-1.38520803230662
1,1982,9,100.056135341109,2400.32376144885,-0.863557507094797,-0.960321661518472,0.10377527170843,-1.70129337754378
1,1982,10,225.298028747849,2859.81944394337,-0.664930059615306,-1.54197848642859,1.58041934755138,-1.77523388558483
1,1982,11,477.631137910338,2663.16775913017,0.446232839201452,0.53233897175336,-0.150792426369038,-0.815637222048913
1,1982,12,195.58571617975,3187.75444087519,1.02816465544233,0.241097704648886,0.984372241122261,-0.684660105314621
1,1983,1,28.593091132104,3177.81110140533,1.00793802768197,0.658821326679472,-0.135791369109178,-1.14627954181019
1,1983,2,23.9473010633402,3363.65581404622,-0.579603470641595,-1.37812491465893,1.4238419662291,-1.50181477962881
1,1983,3,24.5705122085809,3471.07075345081,-1.79356339657298,-1.19406281689552,1.07394489397973,-1.91969619234594
1,1983,4,67.2197018668155,3511.57636853166,-1.88104212281531,-1.81167313786452,1.78447664213763,-2.34367841411481
1,1983,5,82.5699978915818,2688.0776190669,-2.36791911457115,-1.86419604150175,1.63854808807362,-2.76866487615534
1,1983,6,117.733942010731,2583.08659578784,-2.07617610038474,-2.30562027912206,2.13911778063916,-3.02792210822109
1,1983,7,43.6744610076731,2430.27938032215,-1.87718726503103,-1.92980251201932,1.2745598434868,-3.21135084424625
