Year,Grid,TX90p,TX10p,TN90p,TN10p,WSDI,DTR,TXx,TXn,TNx,TNn,rv20TXx,rv20TXn,rv20TNx,rv20TNn
1981,1,6.04395604395604,6.59340659340659,3.57142857142857,10.7142857142857,0,5.8798978302505,31.0698731740316,28.4787564277649,24.9490116437276,23.023939927419,33.606289963837,30.3479278158136,26.7940114344913,1.61689668513835e+201
1981,10,14.2857142857143,5.49450549450549,6.59340659340659,14.010989010989,28,9.21733475517441,30.7444907824198,27.0516042709351,21.2248528798421,17.6522821585337,32.8739583232131,29.043853556738,22.8185248957949,21.1989657424801
1981,100,8.24175824175824,14.010989010989,1.64835164835165,15.9340659340659,6,7.75129741102784,34.5746366182963,29.1582829157511,25.6442772547404,22.5033992131551,37.6948218424603,33.0274385720584,26.0098191549287,26.2819762786332
1981,101,4.94505494505495,15.1098901098901,1.64835164835165,18.1318681318681,0,8.92829140988025,35.2964075406392,29.0513245264689,24.9500904083252,21.7227344512939,1.57507847536649e+158,33.5999297425349,25.1226917705279,25.6980071226424
1981,102,5.21978021978022,14.8351648351648,2.47252747252747,20.8791208791209,0,8.04081400148161,34.4723191261292,28.8095410664876,25.3200176556905,22.5324962933858,1.24971950594065e+151,33.6501282934451,27.4834755502056,5.37866042669313e+286
1981,103,6.86813186813187,14.010989010989,1.92307692307692,16.4835164835165,6,7.47875882767059,34.1611835161845,29.0214435259501,25.6339127222697,22.5661268234253,37.2883446337118,32.7952537479713,Inf,26.3650388157801
1981,104,5.21978021978022,14.8351648351648,1.64835164835165,18.956043956044,0,8.08138843159099,34.7708123524984,28.9966095288595,25.340206305186,22.3913652102153,4.68615510815396e+184,33.2611943592674,25.5970440293654,26.0125445033647
1981,105,4.94505494505495,14.8351648351648,1.64835164835165,22.5274725274725,0,7.17534284277277,34.0699041684469,28.8466946283976,25.7451537450155,23.3393767674764,7.33226067641104e+150,33.4130917089791,3.25989594947002e+248,23.4055609320968
1981,106,5.49450549450549,15.1098901098901,1.37362637362637,19.5054945054945,0,6.37983754440978,33.3716440200806,29.0109814008077,26.1529026031494,23.4325936635335,Inf,32.5476394988638,4.33029540845798e+255,Inf
1981,107,3.2967032967033,14.5604395604396,1.92307692307692,19.5054945054945,0,5.62957916154966,32.4076846440633,28.9169395764669,26.3492498397827,23.4814990361532,Inf,31.6988455653044,Inf,2.03316409584803e+267
1981,11,13.4615384615385,4.94505494505495,5.49450549450549,14.8351648351648,23,10.4275691928444,33.427286307017,28.6454399426778,22.3807479540507,18.4962491989136,35.3853361159832,30.7363355588058,3.51521598453896e+190,22.3177061564902
1981,12,12.9120879120879,5.49450549450549,5.49450549450549,15.6593406593407,13,10.7629637718201,34.1631385485331,28.8999517758687,22.5281902949015,19.0061590671539,Inf,31.380301286668,24.5652591121766,22.4659684583234
1981,13,12.6373626373626,4.12087912087912,5.76923076923077,13.7362637362637,11,10.6650795517387,35.1101775169373,29.6527101198832,23.1427024205526,20.295205116272,3.23314620911247e+205,32.3887286784675,25.144771539866,23.2590107565521
1981,14,13.1868131868132,5.76923076923077,5.76923076923077,11.2637362637363,7,7.94712051454481,33.720138390859,29.4581586519877,24.7458020846049,22.6821042696635,36.0627987820938,31.8220161162721,6.38645657241013e+227,24.6564194272892
