Grid,Year,Rx1day,Rx5day,R5mm,R10mm,R20mm,R50mm,CDD,CWD,R95p,R99p,SDII
1,2019,92.2404310533554,250.221873029862,138,99,46,9,17,15,519.554708697698,181.396093583923,17.1391822641957
1,2020,59.8168907780863,120.007886811357,118,73,27,1,31,9,59.8168907780863,0,13.5442390070091
1,2021,58.1259725597783,137.726866243465,121,83,39,4,16,14,114.89639885191,0,16.4439615118561
1,2022,84.9710352276869,145.250783965849,108,72,31,3,22,8,216.452623845886,0,15.959038663467
1,2023,90.7846074683073,213.010871032257,144,112,59,15,21,16,634.813499382392,90.7846074683073,21.3590560369786
1,2024,45.02633466715,140.27613645655,111,78,33,0,21,18,0,0,14.3047459549061
10,1981,155.507662410906,239.33959153386,95,79,56,15,20,10,470.027896793475,155.507662410906,28.5535048648035
10,1982,152.320750758257,304.641509471632,97,81,52,14,41,8,360.639494492296,152.320750758257,29.41072057579
10,1983,122.871429433594,190.010204956945,55,48,35,18,37,5,465.751877982425,122.871429433594,35.1883000573959
10,1984,116.504841308362,255.654046469988,131,115,49,7,22,33,407.536132454108,0,21.5563086646543
10,1985,121.768139314645,218.160955259227,93,89,62,18,23,8,650.222465271261,121.768139314645,33.6236467852113
10,1986,84.6670772009104,209.234818696304,85,72,49,12,35,10,235.36716416295,0,27.1325188386141
10,1987,135.897280451475,226.102555813377,73,62,33,8,31,8,223.353995429935,135.897280451475,22.7014373076032
10,1988,207.996944462197,216.064821800376,84,71,49,12,28,7,598.055549545201,326.992000726015,30.759479714378
10,1989,116.167557377877,240.632798022237,71,66,47,11,42,7,305.388860551872,0,30.4557114184064
10,1990,148.303594395077,353.87280743059,85,76,57,18,32,6,1451.48343549996,425.693226954649,37.5497419669471
10,1991,266.214534677768,453.349229579377,78,68,51,15,27,5,950.692738719019,266.214534677768,35.7210962522886
10,1992,123.86684616005,349.251588550867,78,64,47,17,18,5,1245.46583273617,123.86684616005,36.1418138863603
10,1993,167.897285783673,328.528137842234,79,75,58,18,38,7,648.540797409859,288.370425840301,38.8608109340638
10,1994,184.479579398639,307.46597364743,78,78,54,15,35,10,672.530096295326,184.479579398639,35.8944122597453
10,1995,119.63020578106,383.347170452236,92,83,45,18,22,13,649.406874694557,119.63020578106,29.6922263643871
10,1996,152.09931805249,289.414915859582,88,80,54,11,29,6,415.816793808612,152.09931805249,30.3346320616979
10,1997,161.652099148239,314.251733021445,89,85,67,27,47,13,1304.37574350697,412.338237524027,40.7848375668158
10,1998,119.144496195986,287.840310711785,103,87,54,15,25,12,362.98053304981,119.144496195986,27.6722748937371
10,1999,125.911297005416,276.696106249159,117,109,62,9,39,15,237.908544722475,125.911297005416,25.1497390409916
10,2000,84.2232376118728,146.749044779758,133,113,66,8,24,8,163.375445412933,0,23.2592925126842
10,2001,64.4914701880204,163.786610745831,127,101,52,3,19,8,0,0,19.2704856384299
10,2002,117.796278871519,323.939778939261,121,100,56,7,27,23,413.689936604883,117.796278871519,22.9016253673192
10,2003,147.283636966145,257.429259132334,123,109,53,9,33,10,334.465225029014,147.283636966145,24.1830295706467
10,2004,163.451191536938,359.592604612712,134,100,61,20,29,12,461.419909997682,294.212133587454,25.4722087360531
10,2005,125.590551870484,168.039292840621,100,89,56,12,21,7,225.946293990472,125.590551870484,26.764535295007
10,2006,108.891280962875,232.828147435417,141,126,74,17,24,16,593.289053447821,0,26.3294249619836
